countryid,teamName,countryCode,teamNameClean,teamNameCleanAll,FlagPath,FlagPathWeb,filename_x
190,Afghanistan,AFG,afghanistan,afghanistan,flags-normal/flag-of-Afghanistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Afghanistan.png,flag-of-Afghanistan.png
76,Albania,ALB,albania,albania,flags-normal/flag-of-Albania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Albania.png,flag-of-Albania.png
117,Algeria,ALG,algeria,algeria,flags-normal/flag-of-Algeria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Algeria.png,flag-of-Algeria.png
222,American Samoa,ASA,american samoa,americansamoa,flags-normal/flag-of-American-Samoa.png,,flag-of-American-Samoa.png
193,Andorra,AND,andorra,andorra,flags-normal/flag-of-Andorra.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Andorra.png,flag-of-Andorra.png
109,Angola,ANG,angola,angola,flags-normal/flag-of-Angola.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Angola.png,flag-of-Angola.png
210,Anguilla,AIA,anguilla,anguilla,flags-normal/flag-of-Anguilla.png,,flag-of-Anguilla.png
108,Antigua And Barbuda,ATG,antigua and barbuda,antiguaandbarbuda,flags-normal/flag-of-Antigua.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Antigua.png,flag-of-Antigua.png
1,Argentina,ARG,argentina,argentina,flags-normal/flag-of-Argentina.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Argentina.png,flag-of-Argentina.png
86,Armenia,ARM,armenia,armenia,flags-normal/flag-of-Armenia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Armenia.png,flag-of-Armenia.png
175,Aruba,ARU,aruba,aruba,flags-normal/flag-of-Aruba.png,,flag-of-Aruba.png
21,Australia,AUS,australia,australia,flags-normal/flag-of-Australia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Australia.png,flag-of-Australia.png
44,Austria,AUT,austria,austria,flags-normal/flag-of-Austria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Austria.png,flag-of-Austria.png
88,Azerbaijan,AZE,azerbaijan,azerbaijan,flags-normal/flag-of-Azerbaijan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Azerbaijan.png,flag-of-Azerbaijan.png
172,Bahamas,BAH,bahamas,bahamas,flags-normal/flag-of-Bahamas.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bahamas.png,flag-of-Bahamas.png
23,Bahrain,BHR,bahrain,bahrain,flags-normal/flag-of-Bahrain.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bahrain.png,flag-of-Bahrain.png
161,Bangladesh,BAN,bangladesh,bangladesh,flags-normal/flag-of-Bangladesh.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bangladesh.png,flag-of-Bangladesh.png
105,Barbados,BRB,barbados,barbados,flags-normal/flag-of-Barbados.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Barbados.png,flag-of-Barbados.png
77,Belarus,BLR,belarus,belarus,flags-normal/flag-of-Belarus.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Belarus.png,flag-of-Belarus.png
45,Belgium,BEL,belgium,belgium,flags-normal/flag-of-Belgium.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Belgium.png,flag-of-Belgium.png
174,Belize,BLZ,belize,belize,flags-normal/flag-of-Belize.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Belize.png,flag-of-Belize.png
135,Benin,BEN,benin,benin,flags-normal/flag-of-Benin.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Benin.png,flag-of-Benin.png
106,Bermuda,BER,bermuda,bermuda,flags-normal/flag-of-Bermuda.png,,flag-of-Bermuda.png
187,Bhutan,BHU,bhutan,bhutan,flags-normal/flag-of-Bhutan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bhutan.png,flag-of-Bhutan.png
9,Bolivia,BOL,bolivia,bolivia,flags-normal/flag-of-Bolivia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bolivia.png,flag-of-Bolivia.png
211,Bonaire,BES,bonaire,bonaire,flags-normal/flag-of-Bonaire.png,,flag-of-Bonaire.png
78,Bosnia And Herzegovina,BIH,bosnia and herzegovina,bosniaandherzegovina,flags-normal/flag-of-Bosnia-Herzegovina.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bosnia-Herzegovina.png,flag-of-Bosnia-Herzegovina.png
137,Botswana,BOT,botswana,botswana,flags-normal/flag-of-Botswana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Botswana.png,flag-of-Botswana.png
2,Brazil,BRA,brazil,brazil,flags-normal/flag-of-Brazil.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Brazil.png,flag-of-Brazil.png
220,British Virgin Islands,VGB,british virgin islands,britishvirginislands,flags-normal/flag-of-British-Virgin-Islands.png,,flag-of-British-Virgin-Islands.png
